experiment,language,qid,query_en,query_used,expanded_query,stage,rank,doc_id,retrieval_score,cross_encoder_score
baseline,english,q20105,sort by a token in string python,sort by a token in string python,,retrieval_only,1,d20105,0.8970985412597656,
baseline,english,q20105,sort by a token in string python,sort by a token in string python,,retrieval_only,2,d1396,0.8864011168479919,
baseline,english,q20105,sort by a token in string python,sort by a token in string python,,retrieval_only,3,d1392,0.8864011168479919,
baseline,english,q20105,sort by a token in string python,sort by a token in string python,,retrieval_only,4,d13445,0.8864011168479919,
baseline,english,q20105,sort by a token in string python,sort by a token in string python,,retrieval_only,5,d16797,0.8832101225852966,
baseline,english,q20105,sort by a token in string python,sort by a token in string python,,retrieval_only,6,d18078,0.8824082016944885,
baseline,english,q20105,sort by a token in string python,sort by a token in string python,,retrieval_only,7,d16964,0.8820211887359619,
baseline,english,q20105,sort by a token in string python,sort by a token in string python,,retrieval_only,8,d5575,0.8793381452560425,
baseline,english,q20105,sort by a token in string python,sort by a token in string python,,retrieval_only,9,d1400,0.8793381452560425,
baseline,english,q20105,sort by a token in string python,sort by a token in string python,,retrieval_only,10,d5613,0.8793381452560425,
baseline,english,q20106,python check file is readonly,python check file is readonly,,retrieval_only,1,d10691,0.8905407190322876,
baseline,english,q20106,python check file is readonly,python check file is readonly,,retrieval_only,2,d20044,0.8905407190322876,
baseline,english,q20106,python check file is readonly,python check file is readonly,,retrieval_only,3,d20106,0.8905407190322876,
baseline,english,q20106,python check file is readonly,python check file is readonly,,retrieval_only,4,d8390,0.8905407190322876,
baseline,english,q20106,python check file is readonly,python check file is readonly,,retrieval_only,5,d12374,0.8905407190322876,
baseline,english,q20106,python check file is readonly,python check file is readonly,,retrieval_only,6,d3654,0.8905407190322876,
baseline,english,q20106,python check file is readonly,python check file is readonly,,retrieval_only,7,d19691,0.8905407190322876,
baseline,english,q20106,python check file is readonly,python check file is readonly,,retrieval_only,8,d9276,0.874812662601471,
baseline,english,q20106,python check file is readonly,python check file is readonly,,retrieval_only,9,d12147,0.874812662601471,
baseline,english,q20106,python check file is readonly,python check file is readonly,,retrieval_only,10,d2019,0.8728739619255066,
baseline,english,q20107,declaring empty numpy array in python,declaring empty numpy array in python,,retrieval_only,1,d17884,0.9033573269844055,
baseline,english,q20107,declaring empty numpy array in python,declaring empty numpy array in python,,retrieval_only,2,d18762,0.9033573269844055,
baseline,english,q20107,declaring empty numpy array in python,declaring empty numpy array in python,,retrieval_only,3,d17161,0.9033573269844055,
baseline,english,q20107,declaring empty numpy array in python,declaring empty numpy array in python,,retrieval_only,4,d18254,0.9033573269844055,
baseline,english,q20107,declaring empty numpy array in python,declaring empty numpy array in python,,retrieval_only,5,d17860,0.9033573269844055,
baseline,english,q20107,declaring empty numpy array in python,declaring empty numpy array in python,,retrieval_only,6,d16845,0.8865393400192261,
baseline,english,q20107,declaring empty numpy array in python,declaring empty numpy array in python,,retrieval_only,7,d9345,0.8800953030586243,
baseline,english,q20107,declaring empty numpy array in python,declaring empty numpy array in python,,retrieval_only,8,d5626,0.8798330426216125,
baseline,english,q20107,declaring empty numpy array in python,declaring empty numpy array in python,,retrieval_only,9,d14709,0.8798330426216125,
baseline,english,q20107,declaring empty numpy array in python,declaring empty numpy array in python,,retrieval_only,10,d13722,0.8798330426216125,
baseline,english,q20108,test for iterable is string in python,test for iterable is string in python,,retrieval_only,1,d12157,0.893689751625061,
baseline,english,q20108,test for iterable is string in python,test for iterable is string in python,,retrieval_only,2,d8132,0.893689751625061,
baseline,english,q20108,test for iterable is string in python,test for iterable is string in python,,retrieval_only,3,d12694,0.8919747471809387,
baseline,english,q20108,test for iterable is string in python,test for iterable is string in python,,retrieval_only,4,d11890,0.8919747471809387,
baseline,english,q20108,test for iterable is string in python,test for iterable is string in python,,retrieval_only,5,d12337,0.8919747471809387,
baseline,english,q20108,test for iterable is string in python,test for iterable is string in python,,retrieval_only,6,d20413,0.8919747471809387,
baseline,english,q20108,test for iterable is string in python,test for iterable is string in python,,retrieval_only,7,d15415,0.8919747471809387,
baseline,english,q20108,test for iterable is string in python,test for iterable is string in python,,retrieval_only,8,d3807,0.8919747471809387,
baseline,english,q20108,test for iterable is string in python,test for iterable is string in python,,retrieval_only,9,d20108,0.888141930103302,
baseline,english,q20108,test for iterable is string in python,test for iterable is string in python,,retrieval_only,10,d20132,0.888141930103302,
baseline,english,q20109,python print results of query loop,python print results of query loop,,retrieval_only,1,d20109,0.9001544713973999,
baseline,english,q20109,python print results of query loop,python print results of query loop,,retrieval_only,2,d12498,0.8695067167282104,
baseline,english,q20109,python print results of query loop,python print results of query loop,,retrieval_only,3,d16493,0.868849515914917,
baseline,english,q20109,python print results of query loop,python print results of query loop,,retrieval_only,4,d18670,0.8631606101989746,
baseline,english,q20109,python print results of query loop,python print results of query loop,,retrieval_only,5,d17573,0.8631606101989746,
baseline,english,q20109,python print results of query loop,python print results of query loop,,retrieval_only,6,d16926,0.8631606101989746,
baseline,english,q20109,python print results of query loop,python print results of query loop,,retrieval_only,7,d20153,0.8611477613449097,
baseline,english,q20109,python print results of query loop,python print results of query loop,,retrieval_only,8,d6056,0.8597041964530945,
baseline,english,q20109,python print results of query loop,python print results of query loop,,retrieval_only,9,d3144,0.8597041964530945,
baseline,english,q20109,python print results of query loop,python print results of query loop,,retrieval_only,10,d5700,0.8597041964530945,
baseline,english,q20110,how to save header of fits file to export python,how to save header of fits file to export python,,retrieval_only,1,d14035,0.8736226558685303,
baseline,english,q20110,how to save header of fits file to export python,how to save header of fits file to export python,,retrieval_only,2,d9869,0.8736226558685303,
baseline,english,q20110,how to save header of fits file to export python,how to save header of fits file to export python,,retrieval_only,3,d20110,0.8558128476142883,
baseline,english,q20110,how to save header of fits file to export python,how to save header of fits file to export python,,retrieval_only,4,d10481,0.8558128476142883,
baseline,english,q20110,how to save header of fits file to export python,how to save header of fits file to export python,,retrieval_only,5,d10028,0.8558128476142883,
baseline,english,q20110,how to save header of fits file to export python,how to save header of fits file to export python,,retrieval_only,6,d20331,0.8558128476142883,
baseline,english,q20110,how to save header of fits file to export python,how to save header of fits file to export python,,retrieval_only,7,d16089,0.8558128476142883,
baseline,english,q20110,how to save header of fits file to export python,how to save header of fits file to export python,,retrieval_only,8,d1139,0.8531685471534729,
baseline,english,q20110,how to save header of fits file to export python,how to save header of fits file to export python,,retrieval_only,9,d1350,0.8531685471534729,
baseline,english,q20110,how to save header of fits file to export python,how to save header of fits file to export python,,retrieval_only,10,d11820,0.8531685471534729,
