qid,query_en,query_id,expanded_query,rank,doc_id,score
q20105,sort by a token in string python,sort by a token in string python,sort by a token in string python sort string search integer condition,1,d20105,0.8839249610900879
q20105,sort by a token in string python,sort by a token in string python,sort by a token in string python sort string search integer condition,2,d18078,0.8815577626228333
q20105,sort by a token in string python,sort by a token in string python,sort by a token in string python sort string search integer condition,3,d5613,0.8806706070899963
q20105,sort by a token in string python,sort by a token in string python,sort by a token in string python sort string search integer condition,4,d1400,0.8806706070899963
q20105,sort by a token in string python,sort by a token in string python,sort by a token in string python sort string search integer condition,5,d5575,0.8806706070899963
q20105,sort by a token in string python,sort by a token in string python,sort by a token in string python sort string search integer condition,6,d19792,0.8744484782218933
q20105,sort by a token in string python,sort by a token in string python,sort by a token in string python sort string search integer condition,7,d15748,0.8738836646080017
q20105,sort by a token in string python,sort by a token in string python,sort by a token in string python sort string search integer condition,8,d13259,0.8738836646080017
q20105,sort by a token in string python,sort by a token in string python,sort by a token in string python sort string search integer condition,9,d3747,0.8738836646080017
q20105,sort by a token in string python,sort by a token in string python,sort by a token in string python sort string search integer condition,10,d7604,0.8738836646080017
q20106,python check file is readonly,python check file is readonly,python check file is readonly file read error open close,1,d20044,0.8751205205917358
q20106,python check file is readonly,python check file is readonly,python check file is readonly file read error open close,2,d12374,0.8751205205917358
q20106,python check file is readonly,python check file is readonly,python check file is readonly file read error open close,3,d20106,0.8751205205917358
q20106,python check file is readonly,python check file is readonly,python check file is readonly file read error open close,4,d19691,0.8751205205917358
q20106,python check file is readonly,python check file is readonly,python check file is readonly file read error open close,5,d3654,0.8751205205917358
q20106,python check file is readonly,python check file is readonly,python check file is readonly file read error open close,6,d8390,0.8751205205917358
q20106,python check file is readonly,python check file is readonly,python check file is readonly file read error open close,7,d10691,0.8751205205917358
q20106,python check file is readonly,python check file is readonly,python check file is readonly file read error open close,8,d13737,0.8710848093032837
q20106,python check file is readonly,python check file is readonly,python check file is readonly file read error open close,9,d4548,0.8698973655700684
q20106,python check file is readonly,python check file is readonly,python check file is readonly file read error open close,10,d5280,0.8698973655700684
q20107,declaring empty numpy array in python,declaring empty numpy array in python,declaring empty numpy array in python array error integer delete loop,1,d18762,0.8796293139457703
q20107,declaring empty numpy array in python,declaring empty numpy array in python,declaring empty numpy array in python array error integer delete loop,2,d17860,0.8796293139457703
q20107,declaring empty numpy array in python,declaring empty numpy array in python,declaring empty numpy array in python array error integer delete loop,3,d17161,0.8796293139457703
q20107,declaring empty numpy array in python,declaring empty numpy array in python,declaring empty numpy array in python array error integer delete loop,4,d18254,0.8796293139457703
q20107,declaring empty numpy array in python,declaring empty numpy array in python,declaring empty numpy array in python array error integer delete loop,5,d17884,0.8796293139457703
q20107,declaring empty numpy array in python,declaring empty numpy array in python,declaring empty numpy array in python array error integer delete loop,6,d16845,0.8785316348075867
q20107,declaring empty numpy array in python,declaring empty numpy array in python,declaring empty numpy array in python array error integer delete loop,7,d13722,0.8782416582107544
q20107,declaring empty numpy array in python,declaring empty numpy array in python,declaring empty numpy array in python array error integer delete loop,8,d5626,0.8782416582107544
q20107,declaring empty numpy array in python,declaring empty numpy array in python,declaring empty numpy array in python array error integer delete loop,9,d14709,0.8782416582107544
q20107,declaring empty numpy array in python,declaring empty numpy array in python,declaring empty numpy array in python array error integer delete loop,10,d9345,0.8747179508209229
q20108,test for iterable is string in python,test for iterable is string in python,test for iterable is string in python string integer error function method,1,d15244,0.8887332677841187
q20108,test for iterable is string in python,test for iterable is string in python,test for iterable is string in python string integer error function method,2,d3807,0.8873171806335449
q20108,test for iterable is string in python,test for iterable is string in python,test for iterable is string in python string integer error function method,3,d12694,0.8873171806335449
q20108,test for iterable is string in python,test for iterable is string in python,test for iterable is string in python string integer error function method,4,d12337,0.8873171806335449
q20108,test for iterable is string in python,test for iterable is string in python,test for iterable is string in python string integer error function method,5,d11890,0.8873171806335449
q20108,test for iterable is string in python,test for iterable is string in python,test for iterable is string in python string integer error function method,6,d20413,0.8873171806335449
q20108,test for iterable is string in python,test for iterable is string in python,test for iterable is string in python string integer error function method,7,d15415,0.8873171806335449
q20108,test for iterable is string in python,test for iterable is string in python,test for iterable is string in python string integer error function method,8,d12157,0.8860989809036255
q20108,test for iterable is string in python,test for iterable is string in python,test for iterable is string in python string integer error function method,9,d8132,0.8860989809036255
q20108,test for iterable is string in python,test for iterable is string in python,test for iterable is string in python string integer error function method,10,d10571,0.8838632106781006
q20109,python print results of query loop,python print results of query loop,python print results of query loop query loop row search database return,1,d20109,0.9043186902999878
q20109,python print results of query loop,python print results of query loop,python print results of query loop query loop row search database return,2,d15575,0.8778031468391418
q20109,python print results of query loop,python print results of query loop,python print results of query loop query loop row search database return,3,d15102,0.8778031468391418
q20109,python print results of query loop,python print results of query loop,python print results of query loop query loop row search database return,4,d8103,0.8778031468391418
q20109,python print results of query loop,python print results of query loop,python print results of query loop query loop row search database return,5,d11497,0.8778031468391418
q20109,python print results of query loop,python print results of query loop,python print results of query loop query loop row search database return,6,d12163,0.8778031468391418
q20109,python print results of query loop,python print results of query loop,python print results of query loop query loop row search database return,7,d10633,0.8778031468391418
q20109,python print results of query loop,python print results of query loop,python print results of query loop query loop row search database return,8,d10667,0.8728225827217102
q20109,python print results of query loop,python print results of query loop,python print results of query loop query loop row search database return,9,d4967,0.8678079843521118
q20109,python print results of query loop,python print results of query loop,python print results of query loop query loop row search database return,10,d12943,0.8678079843521118
q20110,how to save header of fits file to export python,how to save header of fits file to export python,how to save header of fits file to export python save file write update database,1,d9869,0.880939781665802
q20110,how to save header of fits file to export python,how to save header of fits file to export python,how to save header of fits file to export python save file write update database,2,d14035,0.880939781665802
q20110,how to save header of fits file to export python,how to save header of fits file to export python,how to save header of fits file to export python save file write update database,3,d20331,0.8653944134712219
q20110,how to save header of fits file to export python,how to save header of fits file to export python,how to save header of fits file to export python save file write update database,4,d10028,0.8653944134712219
q20110,how to save header of fits file to export python,how to save header of fits file to export python,how to save header of fits file to export python save file write update database,5,d20110,0.8653944134712219
q20110,how to save header of fits file to export python,how to save header of fits file to export python,how to save header of fits file to export python save file write update database,6,d16089,0.8653944134712219
q20110,how to save header of fits file to export python,how to save header of fits file to export python,how to save header of fits file to export python save file write update database,7,d10481,0.8653944134712219
q20110,how to save header of fits file to export python,how to save header of fits file to export python,how to save header of fits file to export python save file write update database,8,d7985,0.8596092462539673
q20110,how to save header of fits file to export python,how to save header of fits file to export python,how to save header of fits file to export python save file write update database,9,d10830,0.8596092462539673
q20110,how to save header of fits file to export python,how to save header of fits file to export python,how to save header of fits file to export python save file write update database,10,d12639,0.8578442335128784
q20111,python calc page align,python calc page align,python calc page align integer column error function close,1,d7137,0.8723911046981812
q20111,python calc page align,python calc page align,python calc page align integer column error function close,2,d1605,0.8723911046981812
q20111,python calc page align,python calc page align,python calc page align integer column error function close,3,d12199,0.8723911046981812
q20111,python calc page align,python calc page align,python calc page align integer column error function close,4,d17008,0.8560010194778442
q20111,python calc page align,python calc page align,python calc page align integer column error function close,5,d19392,0.8560010194778442
q20111,python calc page align,python calc page align,python calc page align integer column error function close,6,d16722,0.8560010194778442
q20111,python calc page align,python calc page align,python calc page align integer column error function close,7,d18064,0.8560010194778442
