qid,query_en,query_id,expanded_query,rank,doc_id,score
q20105,sort by a token in string python,urutkan berdasarkan token dalam string python,urutkan berdasarkan token dalam string python sort string integer error array database,1,d16797,0.8596987724304199
q20105,sort by a token in string python,urutkan berdasarkan token dalam string python,urutkan berdasarkan token dalam string python sort string integer error array database,2,d2694,0.8540581464767456
q20105,sort by a token in string python,urutkan berdasarkan token dalam string python,urutkan berdasarkan token dalam string python sort string integer error array database,3,d20105,0.8539137840270996
q20105,sort by a token in string python,urutkan berdasarkan token dalam string python,urutkan berdasarkan token dalam string python sort string integer error array database,4,d18078,0.8536652326583862
q20105,sort by a token in string python,urutkan berdasarkan token dalam string python,urutkan berdasarkan token dalam string python sort string integer error array database,5,d1923,0.8533082604408264
q20105,sort by a token in string python,urutkan berdasarkan token dalam string python,urutkan berdasarkan token dalam string python sort string integer error array database,6,d6203,0.8533082604408264
q20105,sort by a token in string python,urutkan berdasarkan token dalam string python,urutkan berdasarkan token dalam string python sort string integer error array database,7,d5611,0.8533082604408264
q20105,sort by a token in string python,urutkan berdasarkan token dalam string python,urutkan berdasarkan token dalam string python sort string integer error array database,8,d1394,0.8533082604408264
q20105,sort by a token in string python,urutkan berdasarkan token dalam string python,urutkan berdasarkan token dalam string python sort string integer error array database,9,d1398,0.8533082604408264
q20105,sort by a token in string python,urutkan berdasarkan token dalam string python,urutkan berdasarkan token dalam string python sort string integer error array database,10,d8271,0.8533082604408264
q20106,python check file is readonly,periksa apakah file hanya baca di python,periksa apakah file hanya baca di python file read search query error,1,d19691,0.8552941679954529
q20106,python check file is readonly,periksa apakah file hanya baca di python,periksa apakah file hanya baca di python file read search query error,2,d3654,0.8552941679954529
q20106,python check file is readonly,periksa apakah file hanya baca di python,periksa apakah file hanya baca di python file read search query error,3,d20044,0.8552941679954529
q20106,python check file is readonly,periksa apakah file hanya baca di python,periksa apakah file hanya baca di python file read search query error,4,d8390,0.8552941679954529
q20106,python check file is readonly,periksa apakah file hanya baca di python,periksa apakah file hanya baca di python file read search query error,5,d20106,0.8552941679954529
q20106,python check file is readonly,periksa apakah file hanya baca di python,periksa apakah file hanya baca di python file read search query error,6,d10691,0.8552941679954529
q20106,python check file is readonly,periksa apakah file hanya baca di python,periksa apakah file hanya baca di python file read search query error,7,d12374,0.8552941679954529
q20106,python check file is readonly,periksa apakah file hanya baca di python,periksa apakah file hanya baca di python file read search query error,8,d10439,0.8548150062561035
q20106,python check file is readonly,periksa apakah file hanya baca di python,periksa apakah file hanya baca di python file read search query error,9,d4925,0.8533415794372559
q20106,python check file is readonly,periksa apakah file hanya baca di python,periksa apakah file hanya baca di python file read search query error,10,d12341,0.8533415794372559
q20107,declaring empty numpy array in python,mendeklarasikan array numpy kosong di python,mendeklarasikan array numpy kosong di python array error integer update open,1,d1910,0.849284291267395
q20107,declaring empty numpy array in python,mendeklarasikan array numpy kosong di python,mendeklarasikan array numpy kosong di python array error integer update open,2,d12244,0.849284291267395
q20107,declaring empty numpy array in python,mendeklarasikan array numpy kosong di python,mendeklarasikan array numpy kosong di python array error integer update open,3,d6616,0.849284291267395
q20107,declaring empty numpy array in python,mendeklarasikan array numpy kosong di python,mendeklarasikan array numpy kosong di python array error integer update open,4,d1709,0.849284291267395
q20107,declaring empty numpy array in python,mendeklarasikan array numpy kosong di python,mendeklarasikan array numpy kosong di python array error integer update open,5,d6279,0.8431737422943115
q20107,declaring empty numpy array in python,mendeklarasikan array numpy kosong di python,mendeklarasikan array numpy kosong di python array error integer update open,6,d4176,0.8431737422943115
q20107,declaring empty numpy array in python,mendeklarasikan array numpy kosong di python,mendeklarasikan array numpy kosong di python array error integer update open,7,d13884,0.8431737422943115
